,juliandate,A0620Cal,merr1
0,2454854.58589,19.223,0.015
1,2454854.59578,19.1105,0.014
2,2454854.60061,19.171000000000003,0.015
3,2454854.61041,19.151,0.014
4,2454854.61529,19.1825,0.015
5,2454854.62311,19.195500000000003,0.016
6,2454854.62804,19.077,0.014
7,2454854.64592,19.026999999999997,0.013
8,2454854.65074,18.9645,0.012
9,2454854.66393,18.9685,0.013
10,2454854.66884,18.8625,0.012
11,2454854.67866,18.855,0.012
12,2454854.68372,18.937500000000004,0.013
13,2454854.69371,18.871000000000002,0.012
14,2454854.72272,18.930000000000003,0.014
15,2454858.53701,18.814,0.015
16,2454858.54192,18.9315,0.014
17,2454858.55182,18.859499999999997,0.012
18,2454858.55677,18.689,0.01
19,2454858.56557,18.774499999999996,0.01
20,2454858.57035,18.924500000000002,0.012
21,2454858.58133,18.924,0.011
22,2454858.58613,18.7915,0.01
23,2454858.59412,18.6865,0.01
24,2454858.59896,18.7415,0.01
25,2454858.60758,19.0875,0.013
26,2454858.61275,19.0925,0.013
27,2454858.62322,18.929,0.011
28,2454858.62858,18.822499999999998,0.011
29,2454858.63727,19.032999999999998,0.013
30,2454858.64227,18.994,0.012
31,2454858.65394,18.9325,0.012
32,2454858.65878,18.7825,0.011
33,2454858.66808,18.8585,0.011
34,2454858.67292,18.914,0.011
35,2454858.68335,18.726,0.01
36,2454858.68822,18.648500000000002,0.009
37,2454858.69904,18.797,0.011
38,2454858.70401,18.948,0.013
39,2454858.72003,18.908,0.012
40,2454858.72768,18.835,0.012
41,2454858.74503,18.6595,0.011
42,2454858.75016,18.7655,0.013
43,2454858.75821,18.794,0.013
44,2454858.76428,19.023500000000002,0.017
45,2454858.77483,19.012,0.016
46,2454858.77969,19.086499999999997,0.017
47,2454862.53090,18.847,0.019
48,2454862.53569,18.9265,0.017
49,2454862.54510,19.035500000000003,0.014
50,2454862.54988,19.0525,0.014
51,2454862.56412,18.8325,0.012
52,2454862.57870,18.8045,0.01
53,2454862.58628,18.806,0.011
54,2454862.60005,18.8455,0.011
55,2454862.62304,18.840500000000002,0.01
56,2454862.63713,18.986500000000003,0.011
57,2454862.64191,19.006,0.012
