,juliandate,A0620Cal,merr1
0,2454838.75310,16.450499999999998,0.007
1,2454841.71313,,0.022
2,2454846.71789,16.432000000000002,0.008
3,2454849.73315,16.4985,0.008
4,2454857.69164,16.3395,0.006
5,2454857.69644,16.2605,0.006
6,2454857.71589,16.250500000000002,0.006
7,2454857.72068,16.265499999999996,0.006
8,2454861.60616,,0.005
9,2454861.61094,,0.005
10,2454861.63026,16.228499999999997,0.006
11,2454861.63504,,0.006
12,2454867.61915,,0.01
13,2454867.64391,16.3705,0.011
14,2454867.69830,16.308999999999997,0.011
15,2454873.67630,16.462999999999994,0.011
16,2454877.56717,16.361000000000004,0.006
17,2454882.66093,16.429500000000004,0.007
18,2454885.61578,16.5625,0.007
19,2454888.58904,16.393,0.006
20,2454891.65954,16.455,0.007
21,2454894.61422,16.579,0.01
22,2454897.58819,16.372999999999998,0.01
23,2454900.62688,16.554000000000002,0.014
24,2454903.61842,16.393499999999996,0.009
25,2454906.60115,16.505499999999998,0.012
26,2454909.57832,16.2205,0.007
27,2454912.58244,16.400999999999996,0.008
28,2454915.58120,16.264000000000003,0.007
29,2454918.59466,16.302,0.007
30,2454921.57519,16.239000000000004,0.007
31,2454924.54390,16.457,0.009
32,2454927.53322,16.325000000000003,0.009
33,2454929.53820,16.4315,0.012
34,2454931.54502,16.308999999999997,0.009
35,2454934.54439,16.479,0.009
36,2454935.53021,16.484,0.009
38,2455109.84961,16.4255,0.011
40,2455116.82229,16.517000000000003,0.01
41,2455116.85697,16.551499999999997,0.009
42,2455118.83373,16.580999999999996,0.009
43,2455120.80320,16.585,0.009
44,2455122.78108,16.302999999999997,0.007
45,2455125.81029,16.439999999999998,0.008
46,2455125.82901,16.3285,0.007
47,2455126.76396,16.3985,0.007
49,2455132.83577,16.5355,0.007
50,2455139.81015,16.6935,0.015
51,2455141.74176,16.5415,0.02
52,2455143.73475,16.433,0.01
53,2455146.74759,15.931,0.009
54,2455148.81183,16.5015,0.009
55,2455150.73665,16.4135,0.007
56,2455152.75056,16.631,0.008
58,2455154.77278,16.4745,0.008
59,2455159.73321,16.439500000000002,0.007
61,2455161.77906,16.640499999999996,0.009
62,2455163.77676,16.488,0.008
63,2455164.81373,16.512999999999998,0.008
64,2455166.67291,16.564999999999998,0.011
65,2455168.79060,16.466,0.025
66,2455170.76462,16.4595,0.014
68,2455175.74243,16.4565,0.007
69,2455177.75416,16.525,0.007
70,2455178.72325,16.603,0.009
71,2455180.66059,16.582499999999996,0.009
73,2455182.72959,16.517000000000003,0.007
74,2455183.78649,16.547999999999995,0.007
75,2455184.74627,16.566000000000003,0.007
76,2455185.70303,16.5875,0.008
77,2455186.71683,16.502499999999998,0.007
78,2455199.70715,16.5315,0.011
79,2455200.69356,16.524499999999996,0.008
80,2455201.73343,16.442500000000003,0.008
81,2455202.72381,16.2965,0.006
