,juliandate,A0620Cal,merr1
0,2454838.74826,18.0425,0.009
1,2454844.61268,17.8125,0.017
2,2454847.62242,18.003000000000004,0.01
3,2454851.58013,17.908500000000004,0.009
4,2454851.58491,17.808500000000002,0.008
5,2454851.58969,17.8605,0.008
6,2454851.59744,17.8285,0.009
7,2454851.60222,17.753999999999998,0.008
8,2454851.64229,17.8015,0.009
9,2454851.64707,17.874000000000002,0.008
10,2454851.67051,17.837500000000002,0.009
11,2454851.67529,17.948,0.009
12,2454851.69357,18.002,0.01
13,2454851.69835,17.88,0.009
14,2454851.70728,17.9195,0.01
15,2454851.71206,17.97,0.01
16,2454851.73454,17.826,0.009
17,2454851.73932,17.8325,0.009
18,2454855.53256,17.945,0.015
19,2454855.53734,18.0055,0.012
20,2454855.56274,17.925,0.009
21,2454855.57816,17.9585,0.009
22,2454855.58309,17.971,0.009
23,2454855.59266,17.866,0.008
24,2454855.62135,17.8025,0.008
25,2454855.62617,17.802500000000002,0.008
26,2454855.63587,17.823500000000003,0.008
27,2454855.64081,17.837500000000002,0.008
28,2454855.65378,17.883000000000003,0.008
29,2454855.65876,17.813000000000002,0.008
30,2454855.66765,17.7625,0.008
31,2454855.67832,17.776999999999997,0.008
32,2454855.68345,17.797000000000004,0.008
33,2454855.69331,17.833499999999997,0.008
34,2454855.69810,17.856,0.008
35,2454855.70762,17.896000000000004,0.009
36,2454855.71248,17.8105,0.008
37,2454855.72186,17.849,0.009
38,2454855.72750,18.001,0.01
39,2454859.55810,17.752,0.007
40,2454859.58689,17.8695,0.008
41,2454859.59174,17.853,0.009
42,2454859.60201,17.7165,0.007
43,2454859.60697,17.795499999999997,0.008
44,2454859.61364,17.755000000000003,0.007
45,2454859.61857,17.890000000000004,0.008
46,2454859.62768,17.925,0.008
47,2454859.63269,17.748,0.007
48,2454859.64434,17.916000000000004,0.008
49,2454859.64917,17.8595,0.008
50,2454859.65933,17.698500000000003,0.007
51,2454859.66416,17.66,0.007
52,2454863.55187,17.725,0.007
53,2454863.55664,17.749500000000005,0.008
54,2454863.58551,17.780500000000004,0.008
55,2454863.59029,17.8835,0.008
56,2454863.59726,17.846500000000002,0.008
57,2454863.60204,17.869,0.009
58,2454863.60681,17.929,0.009
59,2454863.61159,17.948,0.009
60,2455141.73697,18.029,0.037
61,2455143.72995,17.973000000000003,0.017
63,2455148.80704,18.016000000000002,0.01
64,2455150.73185,17.949,0.011
65,2455152.74577,18.215500000000006,0.012
67,2455154.76798,17.988000000000003,0.009
68,2455157.75426,18.1285,0.011
69,2455159.72841,18.000000000000004,0.008
71,2455163.77194,18.049500000000002,0.013
72,2455164.80892,17.945999999999998,0.01
73,2455166.66810,17.9695,0.027
