date,juliandate,a0620Cal,merr1
90122,2454854.58589,19.24625,0.015
90122,2454854.59578,19.144750000000002,0.014
90122,2454854.60061,19.20675,0.015
90122,2454854.61041,19.1755,0.014
90122,2454854.61529,19.218249999999998,0.015
90122,2454854.62311,19.23125,0.016
90122,2454854.62804,19.11175,0.014
90122,2454854.64592,19.057999999999996,0.013
90122,2454854.65074,19.00075,0.012
90122,2454854.66393,19.00425,0.013
90122,2454854.66884,18.89275,0.012
90122,2454854.67866,18.903,0.012
90122,2454854.68372,18.9725,0.013
90122,2454854.69371,18.905,0.012
90122,2454854.72272,18.969499999999996,0.014
90126,2454858.53701,18.856749999999998,0.015
90126,2454858.54192,18.965249999999997,0.014
90126,2454858.55182,18.88375,0.012
90126,2454858.55677,18.73075,0.01
90126,2454858.56557,18.810249999999996,0.01
90126,2454858.57035,18.958,0.012
90126,2454858.58133,18.9605,0.011
90126,2454858.58613,18.826,0.01
90126,2454858.59412,18.726,0.01
90126,2454858.59896,18.781,0.01
90126,2454858.60758,19.124,0.013
90126,2454858.61275,19.12775,0.013
90126,2454858.62322,18.972499999999997,0.011
90126,2454858.62858,18.853499999999997,0.011
90126,2454858.63727,19.066249999999997,0.013
90126,2454858.64227,19.026,0.012
90126,2454858.65394,18.97225,0.012
90126,2454858.65878,18.82825,0.011
90126,2454858.66808,18.88875,0.011
90126,2454858.67292,18.95325,0.011
90126,2454858.68335,18.76625,0.01
90126,2454858.68822,18.679250000000003,0.009
90126,2454858.69904,18.8325,0.011
90126,2454858.70401,18.982499999999998,0.013
90126,2454858.72003,18.953000000000003,0.012
90126,2454858.72768,18.87025,0.012
90126,2454858.74503,18.69175,0.011
90126,2454858.75016,18.805999999999997,0.013
90126,2454858.75821,18.828500000000002,0.013
90126,2454858.76428,19.05825,0.017
90126,2454858.77483,19.0445,0.016
90126,2454858.77969,19.128999999999998,0.017
90130,2454862.53090,18.886,0.019
90130,2454862.53569,18.97225,0.018
90130,2454862.54510,19.076,0.014
90130,2454862.54988,19.08825,0.014
90130,2454862.56412,18.87725,0.012
90130,2454862.57870,18.89775,0.01
90130,2454862.58628,18.84875,0.011
90130,2454862.60005,18.886499999999998,0.011
90130,2454862.62304,18.872,0.01
90130,2454862.63713,19.0055,0.011
90130,2454862.64191,19.048,0.012
90106,2454838.74345,19.1075,0.015
90109,2454841.70349,18.887,0.06
90118,2454850.63731,19.07075,0.012
90122,2454854.52708,18.8605,0.051
90122,2454854.54668,19.123749999999998,0.016
90122,2454854.55210,19.0415,0.013
90122,2454854.57122,19.100749999999998,0.014
90122,2454854.58102,19.14875,0.014
90130,2454862.55934,18.99675,0.014
90130,2454862.57392,18.969,0.012
90130,2454862.59106,18.91725,0.011
90130,2454862.60484,18.7755,0.01
90130,2454862.62782,18.89025,0.01
90130,2454862.65148,18.962500000000002,0.012
90130,2454862.65934,18.868,0.011
90130,2454862.66412,18.971249999999998,0.012
90130,2454862.67362,18.911500000000004,0.012
90130,2454862.67840,18.854999999999997,0.011
90130,2454862.68849,18.95625,0.012
90130,2454862.69327,19.02925,0.013
90130,2454862.70806,18.7125,0.01
90130,2454862.71284,18.90475,0.012
90130,2454862.73864,18.68225,0.01
90130,2454862.74342,18.70875,0.01
90130,2454862.75257,18.855999999999998,0.013
90203,2454866.60882,18.951999999999998,0.02
90203,2454866.61849,19.05425,0.025
90203,2454866.62326,19.03875,0.025
90203,2454866.63469,18.918,0.02
90203,2454866.63947,18.907,0.02
