date,juliandate,a0620Cal,merr1
90106,2454838.75310,16.382,0.007
90109,2454841.71313,16.328333333333333,0.022
90114,2454846.71789,16.372000000000003,0.008
90117,2454849.73315,16.42475,0.008
90125,2454857.69164,16.278,0.006
90125,2454857.69644,16.19775,0.006
90125,2454857.71589,16.18475,0.006
90125,2454857.72068,16.206,0.006
90129,2454861.60616,16.072333333333333,0.005
90129,2454861.61094,16.1,0.005
90129,2454861.63026,16.169249999999998,0.006
90129,2454861.63504,16.157333333333334,0.006
90204,2454867.61915,16.230333333333334,0.01
90204,2454867.64391,16.30425,0.011
90204,2454867.69830,16.23725,0.011
90210,2454873.67630,16.398249999999997,0.011
90214,2454877.56717,16.297250000000002,0.006
90219,2454882.66093,16.36025,0.007
90222,2454885.61578,16.494,0.007
90225,2454888.58904,16.319000000000003,0.006
90228,2454891.65954,16.39375,0.007
90303,2454894.61422,16.52025,0.01
90306,2454897.58819,16.2885,0.01
90309,2454900.62688,16.48975,0.014
90312,2454903.61842,16.33925,0.009
90315,2454906.60115,16.45,0.012
90318,2454909.57832,16.168499999999998,0.007
90321,2454912.58244,16.340999999999998,0.008
90324,2454915.58120,16.21,0.007
90327,2454918.59466,16.247249999999998,0.007
90330,2454921.57519,16.15025,0.007
90402,2454924.54390,16.39875,0.009
90405,2454927.53322,16.2615,0.009
90407,2454929.53820,16.37375,0.012
90409,2454931.54502,16.25625,0.009
90412,2454934.54439,16.422,0.009
90413,2454935.53021,16.433,0.009
91001,2455106.86720,16.682499999999997,0.017
91004,2455109.84961,16.364500000000003,0.011
91007,2455112.82892,16.625500000000002,0.024
91011,2455116.82229,16.46275,0.01
91011,2455116.85697,16.494999999999997,0.009
91013,2455118.83373,16.5205,0.009
91015,2455120.80320,16.52025,0.009
91017,2455122.78108,16.23725,0.007
91020,2455125.81029,16.378,0.008
91020,2455125.82901,16.26775,0.007
91021,2455126.76396,16.33175,0.007
91023,2455128.78261,16.291,0.013
91027,2455132.83577,16.47275,0.007
91103,2455139.81015,16.629499999999997,0.015
91105,2455141.74176,16.469,0.02
91107,2455143.73475,16.36875,0.01
91112,2455148.81183,16.429000000000002,0.009
91114,2455150.73665,16.3465,0.007
91116,2455152.75056,16.5635,0.008
91117,2455153.74360,16.418999999999997,0.013
91118,2455154.77278,16.41175,0.008
91123,2455159.73321,16.372500000000002,0.007
91124,2455160.78876,16.539250000000003,0.046
91125,2455161.77906,16.58,0.009
91127,2455163.77676,16.425,0.008
91128,2455164.81373,16.44275,0.008
91130,2455166.67291,16.413249999999998,0.011
91202,2455168.79060,16.428250000000002,0.025
91204,2455170.76462,16.4085,0.014
91207,2455173.69312,16.456000000000003,0.012
91209,2455175.74243,16.396749999999997,0.007
91211,2455177.75416,16.4505,0.007
91212,2455178.72325,16.534750000000003,0.009
91214,2455180.66059,16.51675,0.009
91215,2455181.75201,16.444499999999998,0.012
91216,2455182.72959,16.44925,0.007
91217,2455183.78649,16.48425,0.007
91218,2455184.74627,16.502500000000005,0.007
91219,2455185.70303,16.52375,0.008
91220,2455186.71683,16.4375,0.007
100102,2455199.70715,16.475,0.011
100103,2455200.69356,16.448,0.008
100104,2455201.73343,16.37625,0.008
100105,2455202.72381,16.23225,0.006
100106,2455203.75621,16.459,0.008
100110,2455207.70082,16.35525,0.007
100111,2455208.72289,16.4115,0.008
100112,2455209.69886,16.374250000000004,0.008
100113,2455210.76988,16.326999999999998,0.008
100114,2455211.74796,16.322,0.007
100115,2455212.72390,16.267249999999997,0.007
100116,2455213.70284,16.2985,0.008
100117,2455214.72002,16.45575,0.008
100118,2455215.70207,16.49275,0.008
100119,2455216.69831,16.56275,0.011
100122,2455219.68341,16.361000000000004,0.008
100125,2455222.73244,16.23575,0.009
100130,2455227.72888,16.1285,0.013
100131,2455228.74244,16.15875,0.012
100201,2455229.76376,16.378749999999997,0.012
100203,2455231.69259,16.37325,0.012
100204,2455232.74753,16.23825,0.011
100207,2455235.65702,16.26875,0.007
100209,2455237.67062,16.50725,0.009
100215,2455243.67494,16.478,0.008
100217,2455245.67821,16.363500000000002,0.008
100219,2455247.63683,16.269750000000002,0.009
100221,2455249.58564,16.34675,0.008
