date,juliandate,a0620Cal,merr1
90106,2454838.74826,18.09375,0.009
90112,2454844.61268,17.87025,0.017
90115,2454847.62242,18.05,0.01
90119,2454851.58013,17.96775,0.009
90119,2454851.58491,17.8645,0.008
90119,2454851.58969,17.916749999999997,0.008
90119,2454851.59744,17.883000000000003,0.009
90119,2454851.60222,17.8095,0.008
90119,2454851.64229,17.86075,0.009
90119,2454851.64707,17.928,0.008
90119,2454851.67051,17.89675,0.009
90119,2454851.67529,18.00075,0.009
90119,2454851.69357,18.057000000000002,0.01
90119,2454851.69835,17.93375,0.009
90119,2454851.70728,17.97725,0.01
90119,2454851.71206,18.027,0.01
90119,2454851.73454,17.88,0.009
90119,2454851.73932,17.883,0.009
90123,2454855.53256,18.003,0.015
90123,2454855.53734,18.06175,0.012
90123,2454855.56274,17.98225,0.009
90123,2454855.57816,18.014499999999998,0.009
90123,2454855.58309,18.02125,0.009
90123,2454855.59266,17.9145,0.008
90123,2454855.62135,17.85275,0.008
90123,2454855.62617,17.85175,0.008
90123,2454855.63587,17.881,0.008
90123,2454855.64081,17.89125,0.008
90123,2454855.65378,17.936,0.008
90123,2454855.65876,17.868,0.008
90123,2454855.66765,17.816,0.008
90123,2454855.67832,17.827499999999997,0.008
90123,2454855.68345,17.8525,0.008
90123,2454855.69331,17.88625,0.008
90123,2454855.69810,17.913249999999998,0.008
90123,2454855.70762,17.95625,0.009
90123,2454855.71248,17.86475,0.008
90123,2454855.72186,17.90525,0.009
90123,2454855.72750,18.0565,0.01
90127,2454859.55810,17.80475,0.007
90127,2454859.58689,17.926499999999997,0.008
90127,2454859.59174,17.907249999999998,0.009
90127,2454859.60201,17.773,0.007
90127,2454859.60697,17.8465,0.008
90127,2454859.61364,17.80875,0.007
90127,2454859.61857,17.941000000000003,0.008
90127,2454859.62768,17.977249999999998,0.008
90127,2454859.63269,17.8015,0.007
90127,2454859.64434,17.97275,0.008
90127,2454859.64917,17.913249999999998,0.008
90127,2454859.65933,17.758000000000003,0.007
90127,2454859.66416,17.71925,0.007
90131,2454863.55187,17.782,0.007
90131,2454863.55664,17.8105,0.008
90131,2454863.58551,17.837000000000003,0.008
90131,2454863.59029,17.93975,0.008
90131,2454863.59726,17.909000000000002,0.008
90131,2454863.60204,17.924,0.009
90131,2454863.60681,17.98575,0.009
90131,2454863.61159,18.011,0.009
90131,2454863.61777,17.965,0.009
90131,2454863.62255,17.945999999999998,0.008
90131,2454863.63177,18.021250000000002,0.008
90131,2454863.64262,17.8955,0.007
90131,2454863.64740,17.838,0.007
90131,2454863.65823,17.9345,0.008
90131,2454863.66301,17.847,0.007
90204,2454867.54351,17.8975,0.017
90204,2454867.55097,17.95225,0.02
90204,2454867.59083,17.734499999999997,0.014
90204,2454867.60041,17.7665,0.017
90204,2454867.61431,17.788,0.019
90204,2454867.63907,17.877000000000002,0.019
90204,2454867.65868,17.73525,0.017
90204,2454867.69347,17.69425,0.018
90208,2454871.64323,17.95875,0.027
90208,2454871.66166,17.828249999999997,0.025
90208,2454871.67852,17.921,0.028
90208,2454871.68823,17.954,0.029
90212,2454875.51949,17.9835,0.014
90212,2454875.53319,18.0255,0.008
90212,2454875.55361,18.014,0.009
90212,2454875.56382,18.183249999999997,0.013
90212,2454875.58272,18.139000000000003,0.014
90212,2454875.59067,18.04375,0.014
90212,2454875.61016,18.041,0.014
90212,2454875.63196,17.8465,0.012
90212,2454875.63674,17.893500000000003,0.012
90212,2454875.65555,17.842499999999998,0.015
90216,2454879.63193,18.098000000000003,0.009
90219,2454882.65610,17.92625,0.009
90222,2454885.61095,18.170749999999998,0.01
90225,2454888.58422,17.969749999999998,0.009
90228,2454891.65472,18.04,0.01
90303,2454894.60940,18.1605,0.015
90306,2454897.58337,18.012,0.02
